Date,White Sugar (1 Kilo) ,Sugar Quality,Brown Sugar (1 Kilo) ,Sugar Quality
2023-03-25,,,,
2023-04-01,104.45 ,,,
2023-04-08,104.45 ,,,
2023-04-15,104.45 ,,,
2023-04-29,104.45 ,,,
2023-05-07,104.45 ,Normal,,
2023-05-14,104.45 ,Normal,,
2023-05-20,104.45 ,Normal,,
2023-05-27,104.45 ,Normal,,
2023-06-10,90.00 ,Normal,75.00 ,Normal
2023-06-17,90.00 ,Normal,75.00 ,Normal
2023-07-01,90.00 ,Normal,75.00 ,Normal
2023-07-08,90.00 ,Normal,75.00 ,Normal
2023-07-15,90.00 ,Normal,75.00 ,Normal
2023-07-29,90.00 ,Normal,75.00 ,Normal
2023-08-05,90.00 ,Normal,75.00 ,Normal
2023-08-12,90.00 ,Normal,75.00 ,Normal
2023-08-26,90.00 ,Normal,75.00 ,Normal
2023-11-11,85.00 ,Normal,70.00 ,Normal
2023-11-25,85.00 ,Normal,70.00 ,Normal
2023-12-02,86.00 ,Normal,70.00 ,Normal
2023-12-09,86.00 ,Normal,70.00 ,Normal
2023-12-16,86.00 ,Normal,70.00 ,Normal
2024-01-06,86.00 ,Normal,70.00 ,Normal
